391968999098810388;2394;1211;{391972183770923008: [120, 67], 439180874857316368: [1152, 1134], 417363359743213599: [11, 0], 393120228999168011: [38, 0], 391971420369846273: [635, 6], 393118419656114177: [17, 0], 449960794264698900: [21, 0], 452827631528837121: [44, 1], 404562567592411136: [3, 0], 392039800745623552: [167, 2], 402586546663981067: [11, 0], 392760252811968512: [74, 1], 391971445200257025: [86, 0], 392760790861611011: [1, 0], 392760813062062081: [14, 0]}
424949257225633804;6168;599;{439317593698861056: [334, 321], 427878844091858954: [530, 84], 425279874211643402: [146, 1], 430791016392425482: [157, 3], 424959694520713225: [375, 1], 424971576010604544: [1175, 58], 432249481669509130: [225, 4], 433374508217401357: [1769, 14], 425271016751628291: [29, 0], 442720628362182658: [64, 1], 435509410270412851: [33, 1], 447421148377120779: [129, 0], 432249509666619403: [103, 0], 425689705611526145: [409, 23], 433578115139371019: [17, 1], 424950950877462529: [66, 9], 425323802382303235: [172, 11], 429395529273704469: [108, 12], 438726509860225024: [2, 0], 425272049909628928: [138, 1], 425007719121158145: [18, 1], 433383360258113549: [40, 35], 425330542955986944: [32, 9], 456208031873761290: [97, 9]}
424949257225633804;6168;599;{439317593698861056: [334, 321], 427878844091858954: [530, 84], 425279874211643402: [146, 1], 430791016392425482: [157, 3], 424959694520713225: [375, 1], 424971576010604544: [1175, 58], 432249481669509130: [225, 4], 433374508217401357: [1769, 14], 425271016751628291: [29, 0], 442720628362182658: [64, 1], 435509410270412851: [33, 1], 447421148377120779: [129, 0], 432249509666619403: [103, 0], 425689705611526145: [409, 23], 433578115139371019: [17, 1], 424950950877462529: [66, 9], 425323802382303235: [172, 11], 429395529273704469: [108, 12], 438726509860225024: [2, 0], 425272049909628928: [138, 1], 425007719121158145: [18, 1], 433383360258113549: [40, 35], 425330542955986944: [32, 9], 456208031873761290: [97, 9]}
445256654863466496;102;44;{445256654863466498: [49, 19], 445261114209468442: [41, 22], 445262036775993345: [3, 0], 445265835414650900: [3, 1], 452558908071084043: [4, 1], 445945649880498176: [2, 1]}
427887964991782922;12;5;{427887965528915969: [12, 5]}
453947802075004928;519;107;{453970701716684801: [124, 17], 453971010618785804: [25, 9], 453976252748005386: [165, 75], 453953834289594369: [2, 1], 453953557868314647: [70, 2], 453984865973698580: [68, 2], 453985612236718103: [9, 0], 453985118239981592: [25, 0], 453985424009068565: [24, 1], 453985246040293376: [7, 0]}
390587571807322113;0;0;{}
333949691962195969;13;12;{355735449475743755: [1, 0], 358924080751050753: [1, 1], 438016276095565834: [11, 11]}
264445053596991498;22501;279;{265156286406983680: [5399, 170], 325648177178869760: [87, 0], 264445053596991498: [7915, 11], 385837258768515083: [5451, 6], 412006692125933568: [107, 0], 272764566411149314: [1589, 1], 265156361791209475: [912, 52], 265156322012561408: [341, 35], 306891333405245450: [698, 4], 285458046006591499: [2, 0]}
444132214754639884;21;16;{444132215341711373: [21, 16]}
455962585188270092;207;0;{455962586366607362: [123, 0], 455964103421329431: [84, 0]}
450338948955504641;6;2;{450380252057829386: [6, 2]}
